IC_RSRVDEP_030	com.fasterxml.jackson.annotation.JsonTypeInfo.None	com.fasterxml.jackson.annotation.JsonTypeInfo.	None	Since 2.5, use Void instead.
IC_JDDM_XV036	"java.util.logging.Logger.logrb?(Level, String, String, String, String, Object[])"	java.util.logging.Logger	"logrb?(Level, String, String, String, String, Object[])"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_XV037	"java.util.logging.Logger.logrb?(Level, String, String, String, String, Throwable)"	java.util.logging.Logger	"logrb?(Level, String, String, String, String, Throwable)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Throwable) instead."	
IC_JDDC_XV056	"java.util.Date?(int, int, int, int, int)"	java.util	"Date?(int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min) or GregorianCalendar(year + 1900, month, date, hrs, min)."	
IC_JDDC_XV057	"java.util.Date?(int, int, int, int, int, int)"	java.util	"Date?(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec)."	
IC_JDDC_XV058	java.util.Date?(String)	java.util	Date?(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDC_XV059	"java.net.Socket?(InetAddress, int, boolean)"	java.util	"Socket?(InetAddress, int, boolean)"	Use DatagramSocket instead for UDP transport.	
IC_JDDM_XVI015	java.util.logging.LogRecord.getThreadID()	java.util.logging.LogRecord	getThreadID()	"Values returned by this method may be synthesized, and may not correspond to the actual thread id, use LogRecord.getLongThreadID() instead."	
IC_JDDM_XVI016	java.util.logging.LogRecord.setThreadID?(int)	java.util.logging.LogRecord	setThreadID?(int)	"This method doesn't allow to pass a long thread id, use LogRecord.setLongThreadID(long) instead."	
IC_JDDM_XVII020	java.util.concurrent.Executors.privilegedCallable(Callable<T>)	java.util.concurrent.Executors	privilegedCallable(Callable<T>)	"This method is only useful in conjunction with the Security Manager, which is deprecated and subject to removal in a future release. Consequently, this method is also deprecated and subject to removal. There is no replacement for the Security Manager or this method."	
IC_JDDM_XVII021	java.util.concurrent.Executors.privilegedCallableUsingCurrentClassLoader(Callable<T>)	java.util.concurrent.Executors	privilegedCallableUsingCurrentClassLoader(Callable<T>)	"This method is only useful in conjunction with the Security Manager, which is deprecated and subject to removal in a future release. Consequently, this method is also deprecated and subject to removal. There is no replacement for the Security Manager or this method."	
IC_JDDM_XVII022	java.util.concurrent.Executors.privilegedThreadFactory()	java.util.concurrent.Executors	privilegedThreadFactory()	"This method is only useful in conjunction with the Security Manager, which is deprecated and subject to removal in a future release. Consequently, this method is also deprecated and subject to removal. There is no replacement for the Security Manager or this method."	
IC_JDDM_XVII023	java.util.logging.LogManager.checkAccess()	java.util.logging.LogManager	checkAccess()	"This method is only useful in conjunction with the Security Manager, which is deprecated and subject to removal in a future release. Consequently, this method is also deprecated and subject to removal. There is no replacement for the Security Manager or this method."	
IC_JDDC_XVIII004	"javax.security.auth.Subject.doAs(Subject, PrivilegedAction<T>)"	javax.security.auth.Subject	"doAs(Subject, PrivilegedAction<T>)"	"This method depends on AccessControlContext which, in conjunction with the Security Manager, is deprecated and subject to removal in a future release. However, performing work as a Subject is useful independent of the Security Manager. Thus, a replacement API named Subject.callAs(javax.security.auth.Subject, java.util.concurrent.Callable<T>) has been added which can be used to perform the same work."	
IC_JDDC_XVIII005	"javax.security.auth.Subject.doAs(Subject, PrivilegedExceptionAction<T>)"	javax.security.auth.Subject	"doAs(Subject, PrivilegedExceptionAction<T>)"	"This method depends on AccessControlContext which, in conjunction with the Security Manager, is deprecated and subject to removal in a future release. However, performing work as a Subject is useful independent of the Security Manager. Thus, a replacement API named Subject.callAs(javax.security.auth.Subject, java.util.concurrent.Callable<T>) has been added which can be used to perform the same work."	
IC_JDDC_XIX005	java.util.Locale(String)	java.util	Locale(String)	Locale constructors have been deprecated. See Obtaining a Locale for other options.	
IC_JDDC_XIX006	"java.util.Locale(String, String)"	java.util	"Locale(String, String)"	Locale constructors have been deprecated. See Obtaining a Locale for other options.	
IC_JDDC_XIX007	"java.util.Locale(String, String, String)"	java.util	"Locale(String, String, String)"	Locale constructors have been deprecated. See Obtaining a Locale for other options.	
Binary file /usr/u2l/u2l_backend/projects/pet-store-master_20230525_222814/Java/JavaRules/JavaCommonRules/JDKDeprecatedList.rules matches
IC_RSRVDEP_859	com.fasterxml.jackson.databind.ObjectMapper.setMixInAnnotations(Map<Class<?>, Class<?>>)	com.fasterxml.jackson.databind.ObjectMapper.	setMixInAnnotations(Map<Class<?>, Class<?>>)	Since 2.5
IC_JDDM_5174	java.util.Date.getDate()	java.util.Date	getDate()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_MONTH)."	
IC_JDDM_5175	java.util.Date.getDay()	java.util.Date	getDay()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_WEEK)."	
IC_JDDM_5195	java.util.Date.getHours()	java.util.Date	getHours()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.HOUR_OF_DAY)."	
IC_JDDM_5206	java.util.Date.getMinutes()	java.util.Date	getMinutes()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MINUTE)."	
IC_JDDM_5207	java.util.Date.getMonth()	java.util.Date	getMonth()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MONTH)."	
IC_JDDM_5213	java.awt.ComponentOrientation.getOrientation(ResourceBundle)	java.awt.ComponentOrientation	getOrientation(ResourceBundle)	"As of J2SE 1.4, use ComponentOrientation.getOrientation(java.util.Locale)."	
IC_JDDM_5221	java.util.Date.getSeconds()	java.util.Date	getSeconds()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.SECOND)."	
IC_JDDM_5228	java.util.Date.getTimezoneOffset()	java.util.Date	getTimezoneOffset()	"As of JDK version 1.1, replaced by -(Calendar.get(Calendar.ZONE_OFFSET) + Calendar.get(Calendar.DST_OFFSET)) / (60 * 1000)."	
IC_JDDM_5235	java.util.Date.getYear()	java.util.Date	getYear()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.YEAR) - 1900."	
IC_JDDM_5295	java.util.Date.parse(String)	java.util.Date	parse(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDM_5331	"java.util.Properties.save(OutputStream, String)"	java.util.Properties	"save(OutputStream, String)"	"This method does not throw an IOException if an I/O error occurs while saving the property list. The preferred way to save a properties list is via the store(OutputStream out, String comments) method or the storeToXML(OutputStream os, String comment) method."	
IC_JDDM_5336	java.util.Date.setDate(int)	java.util.Date	setDate(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.DAY_OF_MONTH, int date)."	
IC_JDDM_5340	java.util.Date.setHours(int)	java.util.Date	setHours(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.HOUR_OF_DAY, int hours)."	
IC_JDDM_5346	java.util.Date.setMinutes(int)	java.util.Date	setMinutes(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MINUTE, int minutes)."	
IC_JDDM_5348	java.util.Date.setMonth(int)	java.util.Date	setMonth(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MONTH, int month)."	
IC_JDDM_5357	java.util.Date.setSeconds(int)	java.util.Date	setSeconds(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.SECOND, int seconds)."	
IC_JDDM_5364	java.util.Date.setYear(int)	java.util.Date	setYear(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.YEAR, year + 1900)."	
IC_JDDM_5376	java.util.Date.toGMTString()	java.util.Date	toGMTString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date), using a GMT TimeZone."	
IC_JDDM_5377	java.util.Date.toLocaleString()	java.util.Date	toLocaleString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date)."	
IC_JDDM_5381	"java.util.Date.UTC(int, int, int, int, int, int)"	java.util.Date	"UTC(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec), using a UTC TimeZone, followed by Calendar.getTime().getTime()."	
IC_JDDM_5388	"java.util.Date(int, int, int)"	java.util	"Date(int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date) or GregorianCalendar(year + 1900, month, date)."	
IC_JDDM_5389	"java.util.Date(int, int, int, int, int)"	java.util	"Date(int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min) or GregorianCalendar(year + 1900, month, date, hrs, min)."	
IC_JDDM_5390	"java.util.Date(int, int, int, int, int, int)"	java.util	"Date(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec)."	
IC_JDDM_5391	java.util.Date(String)	java.util	Date(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDF_6060	java.util.logging.Logger.global	java.util.logging.Logger	global	"Initialization of this field is prone to deadlocks. The field must be initialized by the Logger class initialization which may cause deadlocks with the LogManager class initialization. In such cases two class initialization wait for each other to complete. As of JDK version 1.6, the preferred way to get the global logger object is via the call Logger.getLogger(Logger.GLOBAL_LOGGER_NAME)."	
IC_JDDC_8034	java.util.jar.Pack200	java.util.jar	Pack200	This class is deprecated	 and is planned for removal in a future release.
IC_JDDF_8060	java.util.jar.Attributes.Name.EXTENSION_INSTALLATION	java.util.jar.Attributes.Name	EXTENSION_INSTALLATION	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDF_8065	java.util.jar.Attributes.Name.IMPLEMENTATION_URL	java.util.jar.Attributes.Name	IMPLEMENTATION_URL	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDF_8066	java.util.jar.Attributes.Name.IMPLEMENTATION_VENDOR_ID	java.util.jar.Attributes.Name	IMPLEMENTATION_VENDOR_ID	Extension mechanism will be removed in a future release. Use class path instead.	
IC_JDDM_8111	java.util.jar.Pack200.Packer.addPropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Packer	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. Applications that need to monitor progress of the packer can poll the value of the PROGRESS property instead.	
IC_JDDM_8112	java.util.jar.Pack200.Unpacker.addPropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Unpacker	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. Applications that need to monitor progress of the unpacker can poll the value of the PROGRESS property instead.	
IC_JDDM_8113	java.util.logging.LogManager.addPropertyChangeListener(PropertyChangeListener)	java.util.logging.LogManager	addPropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. The global LogManager can detect changes to the logging configuration by overridding the readConfiguration method.	
IC_JDDM_8303	"java.util.logging.Logger.logrb(Level, String, String, String, String)"	java.util.logging.Logger	"logrb(Level, String, String, String, String)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_8304	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead"	
IC_JDDM_8305	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object[])"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object[])"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_8306	"java.util.logging.Logger.logrb(Level, String, String, String, String, Throwable)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Throwable)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Throwable) instead."	
IC_JDDM_8357	java.util.jar.Pack200.Packer.removePropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Packer	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release.	
IC_JDDM_8358	java.util.jar.Pack200.Unpacker.removePropertyChangeListener(PropertyChangeListener)	java.util.jar.Pack200.Unpacker	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release.	
IC_JDDM_8359	java.util.logging.LogManager.removePropertyChangeListener(PropertyChangeListener)	java.util.logging.LogManager	removePropertyChangeListener(PropertyChangeListener)	The dependency on PropertyChangeListener creates a significant impediment to future modularization of the Java platform. This method will be removed in a future release. The global LogManager can detect changes to the logging configuration by overridding the readConfiguration method.	
IC_JDDI_9090	java.util.logging.LoggingMXBean	java.util.logging	LoggingMXBean	LoggingMXBean is no longer a platform MXBean and is replaced with PlatformLoggingMXBean. It will not register in the platform MBeanServer. Use ManagementFactory.getPlatformMXBean(PlatformLoggingMXBean.class) instead.	
IC_JDDI_9093	java.util.Observer	java.util	Observer	This interface has been deprecated. See the Observable class for further information.	
IC_JDDI_9142	java.util.Observable	java.util	Observable	"This class and the Observer interface have been deprecated. The event model supported by Observer and Observable is quite limited, the order of notifications delivered by Observable is unspecified, and state changes are not in one-for-one correspondence with notifications. For a richer event model, consider using the java.beans package. For reliable and ordered messaging among threads, consider using one of the concurrent data structures in the java.util.concurrent package. For reactive streams style programming, see the Flow API."	
IC_JDDAT_9211	java.util.jar.Attributes.Name.EXTENSION_INSTALLATION	java.util.jar.Attributes.Name	EXTENSION_INSTALLATION	Extension mechanism is no longer supported.	
IC_JDDF_9212	java.util.logging.Logger.global	java.util.logging.Logger	global	"Initialization of this field is prone to deadlocks. The field must be initialized by the Logger class initialization which may cause deadlocks with the LogManager class initialization. In such cases two class initialization wait for each other to complete. The preferred way to get the global logger object is via the call Logger.getGlobal(). For compatibility with old JDK versions where the Logger.getGlobal() is not available use the call Logger.getLogger(Logger.GLOBAL_LOGGER_NAME) or Logger.getLogger(""global"")."	
IC_JDDF_9216	java.util.jar.Attributes.Name.IMPLEMENTATION_URL	java.util.jar.Attributes.Name	IMPLEMENTATION_URL	Extension mechanism is no longer supported.	
IC_JDDF_9217	java.util.jar.Attributes.Name.IMPLEMENTATION_VENDOR_ID	java.util.jar.Attributes.Name	IMPLEMENTATION_VENDOR_ID	Extension mechanism is no longer supported.	
IC_JDDM_9375	java.util.concurrent.ThreadPoolExecutor.finalize()	java.util.concurrent.ThreadPoolExecutor	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9376	java.util.zip.Deflater.finalize()	java.util.zip.Deflater	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9377	java.util.zip.Inflater.finalize()	java.util.zip.Inflater	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9378	java.util.zip.ZipFile.finalize()	java.util.zip.ZipFile	finalize()	"The finalize method has been deprecated. Subclasses that override finalize in order to perform cleanup should be modified to use alternative cleanup mechanisms and to remove the overriding finalize method. When overriding the finalize method, its implementation must explicitly ensure that super.finalize() is invoked as described in Object.finalize(). See the specification for Object.finalize() for further information about migration options."	
IC_JDDM_9400	java.util.Date.getDate()	java.util.Date	getDate()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_MONTH)."	
IC_JDDM_9402	java.util.Date.getDay()	java.util.Date	getDay()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.DAY_OF_WEEK)."	
IC_JDDM_9424	java.util.Date.getHours()	java.util.Date	getHours()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.HOUR_OF_DAY)."	
IC_JDDM_9434	java.util.logging.LogManager.getLoggingMXBean()	java.util.logging.LogManager	getLoggingMXBean()	java.util.logging.LoggingMXBean is deprecated and replaced with java.lang.management.PlatformLoggingMXBean. Use ManagementFactory.getPlatformMXBean(PlatformLoggingMXBean.class) instead.	
IC_JDDM_9440	java.util.Date.getMinutes()	java.util.Date	getMinutes()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MINUTE)."	
IC_JDDM_9443	java.util.Date.getMonth()	java.util.Date	getMonth()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.MONTH)."	
IC_JDDM_9451	java.awt.ComponentOrientation.getOrientation(ResourceBundle)	java.awt.ComponentOrientation	getOrientation(ResourceBundle)	"As of J2SE 1.4, use ComponentOrientation.getOrientation(java.util.Locale)."	
IC_JDDM_9465	java.sql.Date.getSeconds()	java.sql.Date	getSeconds()	java.util.Date.getSeconds()	
IC_JDDM_9466	java.util.Date.getSeconds()	java.util.Date	getSeconds()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.SECOND)."	
IC_JDDM_9478	java.util.Date.getTimezoneOffset()	java.util.Date	getTimezoneOffset()	"As of JDK version 1.1, replaced by -(Calendar.get(Calendar.ZONE_OFFSET) + Calendar.get(Calendar.DST_OFFSET)) / (60 * 1000)."	
IC_JDDM_9489	java.util.Date.getYear()	java.util.Date	getYear()	"As of JDK version 1.1, replaced by Calendar.get(Calendar.YEAR) - 1900."	
IC_JDDM_9535	"java.util.logging.Logger.logrb(Level, String, String, String, String)"	java.util.logging.Logger	"logrb(Level, String, String, String, String)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_9536	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead"	
IC_JDDM_9537	"java.util.logging.Logger.logrb(Level, String, String, String, String, Object[])"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Object[])"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Object...) instead."	
IC_JDDM_9538	"java.util.logging.Logger.logrb(Level, String, String, String, String, Throwable)"	java.util.logging.Logger	"logrb(Level, String, String, String, String, Throwable)"	"Use Logger.logrb(java.util.logging.Level, java.lang.String, java.lang.String, java.util.ResourceBundle, java.lang.String, java.lang.Throwable) instead."	
IC_JDDM_9582	java.util.Date.parse(String)	java.util.Date	parse(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDDM_9620	"java.util.Properties.save(OutputStream, String)"	java.util.Properties	"save(OutputStream, String)"	"This method does not throw an IOException if an I/O error occurs while saving the property list. The preferred way to save a properties list is via the store(OutputStream out, String comments) method or the storeToXML(OutputStream os, String comment) method."	
IC_JDDM_9627	java.util.Date.setDate(int)	java.util.Date	setDate(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.DAY_OF_MONTH, int date)."	
IC_JDDM_9633	java.util.Date.setHours(int)	java.util.Date	setHours(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.HOUR_OF_DAY, int hours)."	
IC_JDDM_9642	java.util.logging.LogRecord.setMillis(long)	java.util.logging.LogRecord	setMillis(long)	"LogRecord maintains timestamps with nanosecond resolution, using Instant values. For this reason, setInstant() should be used in preference to setMillis()."	
IC_JDDM_9644	java.util.Date.setMinutes(int)	java.util.Date	setMinutes(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MINUTE, int minutes)."	
IC_JDDM_9647	java.util.Date.setMonth(int)	java.util.Date	setMonth(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.MONTH, int month)."	
IC_JDDM_9659	java.util.Date.setSeconds(int)	java.util.Date	setSeconds(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.SECOND, int seconds)."	
IC_JDDM_9669	java.util.Date.setYear(int)	java.util.Date	setYear(int)	"As of JDK version 1.1, replaced by Calendar.set(Calendar.YEAR, year + 1900)."	
IC_JDDM_9688	java.util.Date.toGMTString()	java.util.Date	toGMTString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date), using a GMT TimeZone."	
IC_JDDM_9689	java.util.Date.toLocaleString()	java.util.Date	toLocaleString()	"As of JDK version 1.1, replaced by DateFormat.format(Date date)."	
IC_JDDM_9700	"java.util.Date.UTC(int, int, int, int, int, int)"	java.util.Date	"UTC(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec), using a UTC TimeZone, followed by Calendar.getTime().getTime()."	
IC_JDDM_9711	"java.util.concurrent.atomic.AtomicBoolean.weakCompareAndSet(boolean, boolean)"	java.util.concurrent.atomic.AtomicBoolean	"weakCompareAndSet(boolean, boolean)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicBoolean.compareAndExchange(boolean, boolean) and AtomicBoolean.compareAndSet(boolean, boolean)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicBoolean.weakCompareAndSetPlain(boolean, boolean) be used instead."	
IC_JDDM_9712	"java.util.concurrent.atomic.AtomicInteger.weakCompareAndSet(int, int)"	java.util.concurrent.atomic.AtomicInteger	"weakCompareAndSet(int, int)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicInteger.compareAndExchange(int, int) and AtomicInteger.compareAndSet(int, int)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicInteger.weakCompareAndSetPlain(int, int) be used instead."	
IC_JDDM_9713	"java.util.concurrent.atomic.AtomicIntegerArray.weakCompareAndSet(int, int, int)"	java.util.concurrent.atomic.AtomicIntegerArray	"weakCompareAndSet(int, int, int)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicIntegerArray.compareAndExchange(int, int, int) and AtomicIntegerArray.compareAndSet(int, int, int)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicIntegerArray.weakCompareAndSetPlain(int, int, int) be used instead."	
IC_JDDM_9714	"java.util.concurrent.atomic.AtomicLong.weakCompareAndSet(long, long)"	java.util.concurrent.atomic.AtomicLong	"weakCompareAndSet(long, long)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicLong.compareAndExchange(long, long) and AtomicLong.compareAndSet(long, long)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicLong.weakCompareAndSetPlain(long, long) be used instead."	
IC_JDDM_9715	"java.util.concurrent.atomic.AtomicLongArray.weakCompareAndSet(int, long, long)"	java.util.concurrent.atomic.AtomicLongArray	"weakCompareAndSet(int, long, long)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicLongArray.compareAndExchange(int, long, long) and AtomicLongArray.compareAndSet(int, long, long)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicLongArray.weakCompareAndSetPlain(int, long, long) be used instead."	
IC_JDDM_9716	"java.util.concurrent.atomic.AtomicReference.weakCompareAndSet(V, V)"	java.util.concurrent.atomic.AtomicReference	"weakCompareAndSet(V, V)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicReference.compareAndExchange(V, V) and AtomicReference.compareAndSet(V, V)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicReference.weakCompareAndSetPlain(V, V) be used instead."	
IC_JDDM_9717	"java.util.concurrent.atomic.AtomicReferenceArray.weakCompareAndSet(int, E, E)"	java.util.concurrent.atomic.AtomicReferenceArray	"weakCompareAndSet(int, E, E)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicReferenceArray.compareAndExchange(int, E, E) and AtomicReferenceArray.compareAndSet(int, E, E)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicReferenceArray.weakCompareAndSetPlain(int, E, E) be used instead."	
IC_JDDM_9734	"java.util.Date(int, int, int)"	java.util	"Date(int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date) or GregorianCalendar(year + 1900, month, date)."	
IC_JDDM_9735	"java.util.Date(int, int, int, int, int)"	java.util	"Date(int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min) or GregorianCalendar(year + 1900, month, date, hrs, min)."	
IC_JDDM_9736	"java.util.Date(int, int, int, int, int, int)"	java.util	"Date(int, int, int, int, int, int)"	"As of JDK version 1.1, replaced by Calendar.set(year + 1900, month, date, hrs, min, sec) or GregorianCalendar(year + 1900, month, date, hrs, min, sec)."	
IC_JDDM_9737	java.util.Date(String)	java.util	Date(String)	"As of JDK version 1.1, replaced by DateFormat.parse(String s)."	
IC_JDRE_XI078	java.util.jar.Pack200.Packer	java.util.jar.Pack200	Packer	"This interface is deprecated, and is planned for removal in a future release."	
IC_JDRE_XI079	java.util.jar.Pack200.Unpacker	java.util.jar.Pack200	Unpacker	"This interface is deprecated, and is planned for removal in a future release."	
IC_JDDM_X340	java.awt.ComponentOrientation.getOrientation?(ResourceBundle)	java.awt.ComponentOrientation	getOrientation?(ResourceBundle)	"As of J2SE 1.4, use ComponentOrientation.getOrientation(java.util.Locale)."	
IC_JDDM_X518	"java.util.concurrent.atomic.AtomicBoolean.weakCompareAndSet?(boolean, boolean)"	java.util.concurrent.atomic.AtomicBoolean	"weakCompareAndSet?(boolean, boolean)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicBoolean.compareAndExchange(boolean, boolean) and AtomicBoolean.compareAndSet(boolean, boolean)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicBoolean.weakCompareAndSetPlain(boolean, boolean) be used instead."	
IC_JDDM_X519	"java.util.concurrent.atomic.AtomicInteger.weakCompareAndSet?(int, int)"	java.util.concurrent.atomic.AtomicInteger	"weakCompareAndSet?(int, int)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicInteger.compareAndExchange(int, int) and AtomicInteger.compareAndSet(int, int)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicInteger.weakCompareAndSetPlain(int, int) be used instead."	
IC_JDDM_X520	"java.util.concurrent.atomic.AtomicIntegerArray.weakCompareAndSet?(int, int, int)"	java.util.concurrent.atomic.AtomicIntegerArray	"weakCompareAndSet?(int, int, int)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicIntegerArray.compareAndExchange(int, int, int) and AtomicIntegerArray.compareAndSet(int, int, int)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicIntegerArray.weakCompareAndSetPlain(int, int, int) be used instead."	
IC_JDDM_X521	"java.util.concurrent.atomic.AtomicLong.weakCompareAndSet?(long, long)"	java.util.concurrent.atomic.AtomicLong	"weakCompareAndSet?(long, long)"	"This method has plain memory effects but the method name implies volatile memory effects (see methods such as AtomicLong.compareAndExchange(long, long) and AtomicLong.compareAndSet(long, long)). To avoid confusion over plain or volatile memory effects it is recommended that the method AtomicLong.weakCompareAndSetPlain(long, long) be used instead."	
